productCode,productName,productLine,productScale,productVendor,productDescription,quantityInStock,buyPrice
3911,Godrej-Protekt-Master-Blaster-Handwash,ProductLine3,01:10,Lang-Morris,Description for Product 8,417,470.16
1241,Godrej-No-1-Bathing-Soap-Turmeric,ProductLine3,01:10,Anderson-Dunn,Description for Product 10,388,745.19
3432,Godrej-No-1-Bathing-Soap-Lime,ProductLine3,01:18,Sanchez PLC,Description for Product 9,408,616.65
4225,Godrej-Protekt-Master-Blaster-Handwash,ProductLine1,01:10,Lang-Morris,Description for Product 8,431,467.88
1986,Godrej-No-1-Bathing-Soap-Lime,ProductLine4,01:10,Sanchez PLC,Description for Product 9,404,669.45
3550,Godrej-No-1-Bathing-Soap-Lime,ProductLine3,01:18,Sanchez PLC,Description for Product 9,574,519.16
5490,Mamaearth-Moisturizing-Baby-Bathing-Oatmeal,ProductLine3,01:10,"Whitehead, Horton and Johnson",Description for Product 7,448,635.29
2017,Godrej-No-1-Bathing-Soap-Lime,ProductLine4,01:12,Sanchez PLC,Description for Product 10,443,969.19
8987,Mamaearth-Blemishes-Pigmentation-Blemish-Mulberry,ProductLine2,01:10,Marshall-Ross,Description for Product 4,483,646.6
8925,Mamaearth-Face-Wash-100-ml,ProductLine2,01:12,George PLC,Description for Product 5,464,941.89
