productCode,productName,productLine,productScale,productVendor,productDescription,quantityInStock,buyPrice
6796,Godrej-Protekt-Master-Blaster-Handwash,ProductLine3,01:10,Marshall-Ross,Description for Product 8,590,887.61
4878,Godrej-Protekt-Master-Blaster-Handwash,ProductLine3,01:10,Lang-Morris,Description for Product 8,366,954.19
6303,Mamaearth-Onion-Growth-Control-Redensyl,ProductLine2,01:10,"Johnson, Garcia and Ferguson",Description for Product 1,510,664.51
4592,Mamaearth-Illuminate-Vitamin-Radiant-Turmeric,ProductLine3,01:10,Marshall-Ross,Description for Product 4,677,745.16
7963,Godrej-Protekt-Master-Blaster-Handwash,ProductLine3,01:10,Marshall-Ross,Description for Product 4,611,927.0
9273,Mamaearth-Onion-Growth-Control-Redensyl,ProductLine2,01:10,"Johnson, Garcia and Ferguson",Description for Product 1,689,565.34
3112,Godrej-No-1-Bathing-Soap-Lime,ProductLine3,01:10,Sanchez PLC,Description for Product 10,370,870.21
3255,Godrej-No-1-Bathing-Soap-Lime,ProductLine3,01:10,Sanchez PLC,Description for Product 9,421,628.79
5532,Godrej-Protekt-Master-Blaster-Handwash,ProductLine3,01:10,Lang-Morris,Description for Product 8,359,783.05
5552,Mamaearth-Illuminate-Vitamin-Radiant-Turmeric,ProductLine3,01:10,Lang-Morris,Description for Product 4,547,632.35
4470,Mamaearth-Natural-Turmeric-Saffron-brightning,ProductLine2,01:10,Pennington and Sons,Description for Product 3,649,383.78
1866,Mamaearth-Moisturizing-Baby-Bathing-Oatmeal,ProductLine3,01:10,"Whitehead, Horton and Johnson",Description for Product 7,365,650.3
9691,Mamaearth-Face-Wash-100-ml,ProductLine2,01:10,"Johnson, Garcia and Ferguson",Description for Product 1,600,507.35
4230,Mamaearth-Face-Wash-100-ml,ProductLine2,01:10,Chavez-Robinson,Description for Product 6,441,649.81
5573,Godrej-No-1-Bathing-Soap-Lime,ProductLine3,01:10,Sanchez PLC,Description for Product 9,668,757.26
4342,Godrej-No-1-Bathing-Soap-Lime,ProductLine3,01:10,Sanchez PLC,Description for Product 2,515,421.81
5774,Godrej-Protekt-Master-Blaster-Handwash,ProductLine3,01:10,Lang-Morris,Description for Product 8,369,973.08
7137,Godrej-No-1-Bathing-Soap-Lime,ProductLine3,01:10,Sanchez PLC,Description for Product 9,605,755.5
5367,Mamaearth-Percent-Natural-Berry-Toothpaste,ProductLine3,01:18,Smith Group,Description for Product 2,503,453.6
